depth,seed,train_rmse,val_rmse,test_rmse,test_mae,test_pearson,test_spearman,test_kge,test_nse,test_fft_cosine,fft_metric_source,test_amplitude_ratio,total_parameter_count,encoding_parameter_count,mean_strength,mean_abs_strength_minus_1,min_strength,max_strength,mean_polar_shift_rad,mean_abs_polar_shift_rad,mean_phase_shift_rad,mean_abs_phase_shift_rad,max_abs_phase_shift_rad,min_adjacent_phase_gap_rad,max_adjacent_phase_gap_rad
1,42,39.719801478543914,44.755606770370555,56.18998550192246,44.55179744300749,0.5952375617438151,0.6355587808417997,0.53179076876642,0.31953045047386863,0.9576567697304356,saved,0.770228572999285,93,36,0.6358499735084752,0.46349805788757603,0.08952810169084735,1.4122366208499784,0.40528087065295343,0.6447418367793023,0.0010662500061428988,0.16829545770699042,0.24617583728993236,0.06475614938049773,0.9014917122614214
1,43,39.27828133213932,51.158637876444985,55.8347241562781,45.295943005908754,0.5862366606299367,0.6220920588845117,0.4942569653918488,0.3281077907399077,0.9595473570454146,saved,0.7095629670928641,93,36,0.5751310157911743,0.4726162189039979,0.2035111176738319,1.1467027236852252,-0.5394360728346698,0.808208476768541,-0.04381139039650589,0.20112817055017773,0.2568802548242075,0.11473221786695653,0.9689412412931766
1,44,38.61609437842254,45.57157360711436,53.076894451604204,44.44262065651455,0.6338853650532016,0.6659236989425669,0.526717153987138,0.3928418011138257,0.9670880939588868,saved,0.7042760994732735,93,36,0.5125356529160982,0.52387418005733,0.10911639331985046,1.218458997840568,-0.27741960394942006,0.7813085076794893,-0.024538087251810753,0.1585197853888153,0.2586423297017856,0.13115864814071676,0.9720361549209156
1,45,39.2895708555828,46.9367756429184,55.81725069541288,45.5424558319017,0.5917256030155528,0.6244142649803027,0.5102116581020479,0.32852826188371864,0.963003619836667,saved,0.7317551528355767,93,36,0.5096627166995593,0.5112257240447872,0.11143415294319114,1.1253306444660789,0.28986012084262397,0.7059987450981992,-0.00509052618674338,0.16817411623563364,0.2464101263722328,0.16345931347985354,0.9383540314698036
1,46,40.074556478836186,46.22447783953669,56.232221953629384,45.32811774572624,0.5891867134793615,0.628322620775451,0.514475468283614,0.3185070858734881,0.9627967966057572,saved,0.746102306535537,93,36,0.6098097273685517,0.3941797991990814,0.1901662549386981,1.023937159405798,0.2752408160595496,0.6254789312798195,-0.018294150917867704,0.14961581448983727,0.20205679309931698,0.22327804721340824,0.8869082784137561
2,42,33.49323182014178,44.491112719178375,51.659206654670186,41.85062070685184,0.6540862746394983,0.6696143479162348,0.4847915112935579,0.42484311867663516,0.9651425782541776,saved,0.6196576365602018,171,72,0.6905541484313255,0.39809697298575725,0.1916358770228741,1.4480136868509728,0.021585885925731785,0.23356363448706374,0.01213935878504372,0.10387078811814475,0.21394795248267157,0.11042298306876885,0.8573322715735414
2,43,36.10616665907219,43.95961593280029,52.93023415132662,42.61315604941322,0.63267926515245,0.6816918930126478,0.5198047140307427,0.3961925238798466,0.9622667853766804,saved,0.6913590547385812,171,72,0.7436911443995523,0.37912808487464583,0.30616771095826834,1.651886674328452,-0.09056971687642507,0.38180394715961535,0.008818309018725863,0.12960880545132533,0.23236796054570688,0.21004569149773555,0.9808750739229685
2,44,34.848787381230025,43.59793220298628,53.22747605899113,43.44877217190554,0.6245636574488779,0.6732013269749119,0.4853651429038285,0.38939184234790136,0.967567998991972,saved,0.648128085868616,171,72,0.7521391009243054,0.3270547567208466,0.25731920809902176,1.2894360513953793,0.05718579649816602,0.20566391346300308,0.01923365878656745,0.09607473656929282,0.1768799692021709,0.269422248619275,0.8658023336789746
2,45,33.90608322214697,47.82409217085301,57.15424262328779,47.27027141768578,0.5501429252484252,0.6070391872278664,0.39320360413054034,0.2959754498653948,0.974005164958477,saved,0.5962797818077715,171,72,0.7521317621914984,0.31999755301988253,0.3513517917071174,1.4153657759516558,-0.07018758546637584,0.25285689227450187,0.03818254388587689,0.09441088430271816,0.2118419163419564,0.2562831417518212,0.7473626640799744
2,46,33.891209802732774,47.475442321588005,54.64877117356987,45.074284703775,0.6010181144937811,0.6278664731494921,0.48209111312799835,0.3563472081412874,0.9666962562999848,saved,0.6699061256679175,171,72,0.7408658288344078,0.43402913284697253,0.2542803266909437,1.6162937322777524,-0.024318231007201055,0.28078266268052166,0.006393551366312707,0.10517217072969491,0.21233209630956454,0.2864597157594182,0.9453879181259983
