depth,n_pairs,mean_rmse_improvement_model5,sd_rmse_improvement_model5,median_rmse_improvement_model5,model5_better_seed_count,mean_pearson_change_model5,mean_kge_change_model5,mean_fft_change_model5,mean_amplitude_change_model5
1,5,0.4814951285609652,0.5866563752361414,0.2533972467766432,4,0.006013405780708569,-0.00023367778263148065,-3.0766475398347204e-05,-0.009377313572492918
2,5,-1.1135804281982786,1.2362916345730717,-0.34353747198871787,0,-0.021520670344814485,-0.004739920080881,0.0007763709680407516,0.013211622547851687
3,5,0.06534593031155253,1.5030971899421133,-0.5156691401794902,2,0.0016918450698869768,0.010795926798330857,-0.0002670273943361723,0.014389278355381795
4,5,-1.7092540251280695,2.2566275605571002,-0.35351406822427833,1,-0.030758816445495253,-0.016076733511759624,0.00012998063173939035,0.010353702034096269
5,5,-0.4434021107851095,1.4909808801788724,-0.6015600793700813,1,-0.006169931661778505,0.004240472656884297,-0.0005917258875160148,0.014483030262363361
6,5,-0.7537080499488198,1.9661826390068695,-1.1802785247738399,1,-0.016029914237886113,0.004901117752470996,-0.0007507897249157125,0.022999213254244966
