depth,mean_strength,sd_strength_all_month_layer_seed,mean_abs_strength_minus_1,min_strength,max_strength,mean_polar_shift_rad,mean_abs_polar_shift_rad,mean_phase_shift_rad,mean_abs_phase_shift_rad,mean_abs_phase_shift_deg,max_abs_phase_shift_rad,max_abs_phase_shift_deg
1,0.5685978172567717,0.33894015173070124,0.4730787960185544,0.08952810169084735,1.4122366208499784,0.030705226154207413,0.7131472995210703,-0.018133580949356957,0.1691466688742909,9.691390245193714,0.2586423297017856,14.819113895343449
2,0.7358763969562179,0.32853467724203106,0.37166130008962095,0.1916358770228741,1.651886674328452,-0.021260770185220833,0.27093421001294116,0.01695348436850533,0.10582747703423519,6.063467790579323,0.23236796054570688,13.313703433331433
3,0.6668861142868493,0.273053356700199,0.3758643218286404,0.1194106509949795,1.5127642152190015,0.06451728952766825,0.3053442635165978,0.009663500566774027,0.09910084671031125,5.678060262673763,0.22916110824184696,13.129964330798456
4,0.6899105289760884,0.2713778591591549,0.3597047739568145,0.15585045670334452,1.6309731057864876,0.03877568214256692,0.26975617800033347,-0.0038689058223224846,0.09158506252295245,5.2474375490069445,0.2453580641318439,14.057981544254842
5,0.6600135219824079,0.24930948239898995,0.36982417454754696,0.09229687005007448,1.671293689991121,-0.005009867160053017,0.23437227047894443,0.005108562679910416,0.08073164365411034,4.625582454534638,0.2447541111241922,14.023377585892167
6,0.6343014809493752,0.24648220838620682,0.3948782789009248,0.12451726354803716,1.6103259758501423,0.02521530378722526,0.24221663032893387,-0.0013601479535952684,0.07851034846895906,4.498311615372739,0.24193009224697196,13.861573222962173
