depth,layer,mean_strength,sd_strength_across_seeds,mean_abs_polar_shift_rad,mean_phase_shift_rad,mean_abs_phase_shift_rad,max_abs_phase_shift_rad_mean_across_seeds,mean_min_adjacent_phase_gap_rad,mean_max_adjacent_phase_gap_rad
1,1,0.5685978172567717,0.05674563658754811,0.7131472995210701,-0.018133580949356968,0.16914666887429086,0.24203306825749502,0.13947687521628654,0.9335462836718147
2,1,0.8784708803956542,0.0856754622791696,0.2921507975052731,0.0019135934962329578,0.1079173726137012,0.189581675497432,0.27065381844126984,0.8540993204482907
2,2,0.5932819135167816,0.09989998003409815,0.24971762252060917,0.031993375240777694,0.10373758145476916,0.19949604052180997,0.22652675613940376,0.8283138620435821
3,1,0.6456583313110389,0.0728457052265516,0.26276559993773974,-0.0015313166047357316,0.10338027651488355,0.19973176405042775,0.2665070367542863,0.7800595929764116
3,2,0.7827546465390096,0.050206473630190596,0.44745298098440517,0.023611548954488203,0.09938121961661438,0.20338134474052016,0.2853313806480642,0.7587136085022643
3,3,0.5722453650104994,0.08329240158187941,0.20581420962764846,0.006910269350569607,0.09454104399943584,0.17445343084014747,0.2732510028885481,0.788227624663189
4,1,0.7438024043151386,0.12932781295723755,0.29773153186382595,-0.00559157959838885,0.09719792090651518,0.18237147097214854,0.26184718791106326,0.7912414337489356
4,2,0.6564758457665041,0.06131895656932844,0.2574786187407439,-0.0027415731677628164,0.0790178078044071,0.16537435869630013,0.3220794090217023,0.7148524483044125
4,3,0.7892478557063074,0.1400668319208145,0.25529694484708554,-0.0012595311404831576,0.08626543356758676,0.17351700148262308,0.27542015483201954,0.7380983389817665
4,4,0.5701160101164031,0.04979653238021649,0.26851761654967826,-0.005882939382655123,0.10385908781330082,0.19627855618685094,0.22327597866649662,0.7945669397436415
5,1,0.7322834378735638,0.026607420241722985,0.28218232176685687,0.007213953610384662,0.08101253079441115,0.17116597147786364,0.334271624017984,0.7283174890705644
5,2,0.736263788252821,0.1600405998568354,0.23600573681975123,-0.0011786154937215468,0.07370412688012501,0.1652766244551653,0.27666336124450847,0.713518422557254
5,3,0.6257930023287595,0.09695644092264549,0.2012023320024539,0.003935858907257117,0.06890714703605272,0.15938160409954666,0.313450139539893,0.7556426520503386
5,4,0.7312786005787876,0.10039594526876372,0.24442861253756615,0.004259071831100995,0.09426544487684321,0.19072521075238907,0.2889717757655105,0.8150133367796706
5,5,0.4744487808781077,0.03427534697449672,0.20804234926809415,0.011312544544530848,0.08576896868311958,0.17655151408001543,0.2958519945311452,0.7411326709866988
6,1,0.751897969442473,0.11946033508988071,0.25016130642705214,-0.013293808568637915,0.0925865891395185,0.17083449990224825,0.3283405319169736,0.7893394001130739
6,2,0.6299671148062936,0.10848954279888454,0.24945992223151317,0.005467076198074523,0.06035177670861378,0.12903804784874412,0.36318049272152564,0.7001093779969126
6,3,0.7244824797972003,0.16276471394446002,0.23174357169490448,0.0081042658309106,0.07014698240754019,0.14150594306088132,0.3285727455862236,0.7482531470037164
6,4,0.5452517481051097,0.05329409801042476,0.2358859162766389,0.011999800312731268,0.06808287499261638,0.16007324941122242,0.34457876794817943,0.7210865080142288
6,5,0.6854234855231329,0.07780547507662029,0.2822668576766274,-0.0019282141293245493,0.09376692520110391,0.1852427791478443,0.2903578908227204,0.8522780266981137
6,6,0.46878608802204236,0.07491149582891582,0.20378220766686708,-0.01851000736532554,0.08612694236436155,0.18932197947671592,0.25637779163825264,0.8248748623330757
