depth,seed,month_index,layer,strength_raw,strength,polar_shift_raw,polar_shift_rad,phase_raw,phase_shift_rad,phase_shift_deg,fixed_phase_rad,learned_phase_unwrapped_rad,learned_phase_wrapped_rad
1,42,0,1,-0.3221336706879953,0.688565078239271,0.19447256213675393,0.3016831642318142,1.740826626485167,0.24617583728993236,14.104836494812394,0.0,0.24617583728993236,0.24617583728993236
1,42,1,1,0.18596610067851804,1.1838515675263295,0.2458076644379876,0.3785207242392813,-1.1338337954777629,-0.21266678892786872,-12.184909448166383,0.5235987755982988,0.3109319866704301,0.3109319866704301
1,42,2,1,-0.9355216831091919,0.2668420850451265,-0.4241550350985284,-0.6289861851892032,-0.514290943758987,-0.1239048712519904,-7.099226183850894,1.0471975511965976,0.9232926799446073,0.9232926799446073
1,42,3,1,-1.5302764981659296,0.08952810169084735,0.9068559659049295,1.1303761280039666,-0.9793031319417512,-0.19707317480250047,-11.291461171427198,1.5707963267948966,1.373723151992396,1.373723151992396
1,42,4,1,-0.5638028630399676,0.48920645257585404,-0.030876085393721896,-0.04848463517283005,-0.19630641017657643,-0.05074275533589692,-2.9073457216118315,2.0943951023931953,2.0436523470572983,2.0436523470572983
1,42,5,1,-0.35122772513729766,0.662536095806556,1.2848499005860865,1.3473846929576732,-0.4869932525146399,-0.11828796878770993,-6.777401378710992,2.6179938779914944,2.4997059092037843,2.4997059092037843
1,42,6,1,0.43830276601162116,1.4122366208499784,-0.527388340340085,-0.7592949763960601,0.7550513513455501,0.1670680264379111,9.572292806472364,3.141592653589793,3.308660680027704,3.308660680027704
1,42,7,1,-1.200294717507564,0.16625552033845303,0.011197241046614823,0.01758785006803427,-0.7674872230926911,-0.1689825877259286,-9.681989087894896,3.665191429188092,3.4962088414621633,3.4962088414621633
1,42,8,1,-0.2797090044151225,0.7273642638724818,0.02707067644879708,0.04251213503440594,0.9574881418531253,0.19455735438045013,11.147315279230892,4.1887902047863905,4.3833475591668405,4.3833475591668405
1,42,9,1,-0.41605972393406054,0.60639422132365,0.9225723574163911,1.1421449479930703,1.2615721154875916,0.22292137931184083,12.772454197803423,4.71238898038469,4.935310359696531,4.935310359696531
1,42,10,1,-0.7163574611285831,0.3853520406581018,0.8094341962230781,1.0512994496626542,0.883880144679796,0.1854476488586655,10.62536760022561,5.235987755982989,5.421435404841654,5.421435404841654
1,42,11,1,-0.04796912490124031,0.952067634175053,0.64120228001713,0.8886271524026349,-0.5534778638353047,-0.13171709937319004,-7.54683388378905,5.759586531581287,5.627869432208097,5.627869432208097
1,43,0,1,-0.4837588618057438,0.5507510978600456,0.13954090998642335,0.21777867582014274,1.0745147543557092,0.20712418436636143,11.867341599282057,0.0,0.20712418436636143,0.20712418436636143
1,43,1,1,-1.088934391160765,0.2035111176738319,-0.4910235864425112,-0.7147570375717668,-0.7932789071270828,-0.17285632371141424,-9.903937810811174,0.5235987755982988,0.3507424518868846,0.3507424518868846
1,43,2,1,-0.9750091661029573,0.2491027185215141,-0.6060489756284341,-0.850334716508457,-1.0767198560229352,-0.20733975756184525,-11.879693033559429,1.0471975511965976,0.8398577936347524,0.8398577936347524
1,43,3,1,-0.6720850706382774,0.41365023357021036,-0.4515349397060609,-0.664698032332045,0.6544005163691665,0.15043645023268865,8.61937368326291,1.5707963267948966,1.7212327770275853,1.7212327770275853
1,43,4,1,-0.589002298536829,0.4708223293043624,-0.38048716806202004,-0.5704040094225943,-1.123614867661477,-0.21174926662229837,-12.132339292448089,2.0943951023931953,1.8826458357708968,1.8826458357708968
1,43,5,1,0.14776895634256823,1.1467027236852252,-1.6056888197712587,-1.4490916560571356,-2.329077071649556,-0.2568802548242075,-14.718154441672196,2.6179938779914944,2.361113623167287,2.361113623167287
1,43,6,1,0.044857316442704916,1.0448272536581875,-1.1858300835430677,-1.3026317509391787,-1.29841778385131,-0.2254918152545195,-12.919729328827643,3.141592653589793,2.916100838335274,2.916100838335274
1,43,7,1,-0.9370198402856534,0.2661499788230203,-0.05608429728385092,-0.08800475603448818,0.5709055838716359,0.13509477586079388,7.740360491089322,3.665191429188092,3.8002862050488857,3.8002862050488857
1,43,8,1,0.09524035619830418,1.0949534308276205,0.14892200151949805,0.23221201804558783,-0.951379388940673,-0.19383807122379965,-11.106103390079971,4.1887902047863905,3.994952133562591,3.994952133562591
1,43,9,1,-0.29728275826280354,0.71117599967424,-0.9857054218659191,-1.186776117767814,1.0771803522262497,0.20738468124932546,11.882266971252209,4.71238898038469,4.919773661634015,4.919773661634015
1,43,10,1,-0.5404665188833985,0.5066589770786376,0.9508375360101364,1.162643729737496,-1.0193559435244306,-0.2014818764820171,-11.544061170795738,5.235987755982989,5.034505879500972,5.034505879500972
1,43,11,1,-0.9885273242989434,0.24326632881719656,-1.1031062586515084,-1.2591692209857848,1.6694492876313611,0.24386058921286166,13.972182551470464,5.759586531581287,6.003447120794148,6.003447120794148
1,44,0,1,-0.25673878943377026,0.7487573087196402,0.05697116956766972,0.08939340965904993,0.5435447490869539,0.12976519098103942,7.434997770922653,0.0,0.12976519098103942,0.12976519098103942
1,44,1,1,-0.46335537642923963,0.5671850153086491,-0.5356807678473521,-0.7692370443254695,0.032776860297699384,0.008577890372821258,0.4914769154885583,0.5235987755982988,0.5321766659711201,0.5321766659711201
1,44,2,1,-1.426192187217789,0.10911639331985046,-0.9636853651059167,-1.1716824703461997,-1.0485712620972032,-0.20453084340105177,-11.718754107131431,1.0471975511965976,0.8426667077955459,0.8426667077955459
1,44,3,1,-1.3983346553978866,0.1150088513214601,-0.8386030657657048,-1.0761029965478106,1.6707770126386927,0.24390653592156497,13.97481510396168,1.5707963267948966,1.8147028627164614,1.8147028627164614
1,44,4,1,-0.6392348282935042,0.4356216689594532,-0.1993953417265706,-0.3091235253554057,0.5641768996481912,0.13379779775579673,7.66604911955211,2.0943951023931953,2.228192900148992,2.228192900148992
1,44,5,1,-0.3537926254865594,0.6602652616739271,-0.9920910078142438,-1.191060279036246,-2.5525186478023403,-0.2586423297017856,-14.819113895343449,2.6179938779914944,2.359351548289709,2.359351548289709
1,44,6,1,-1.2956926722479392,0.13938981400600658,-1.0852759940164198,-1.2490146930518629,-1.409158966059348,-0.2322986291408411,-13.309731036444912,3.141592653589793,2.9092940244489522,2.9092940244489522
1,44,7,1,-0.821956487730825,0.3238666526751439,0.10655215217532939,0.16674118206443891,-0.5170417983490613,-0.12446299987017423,-7.1312045980982965,3.665191429188092,3.5407284293179178,3.5407284293179178
1,44,8,1,-0.10622567743759188,0.8941720738329336,-0.39208139274995757,-0.5861476611104623,0.9804311287839859,0.1972010371731281,11.298787145622699,4.1887902047863905,4.385991241959519,4.385991241959519
1,44,9,1,-0.8367360747810556,0.31592360004752784,0.8319142123089015,1.0705016373123506,0.36114925842883955,0.09064173661767685,5.193388955929294,4.71238898038469,4.8030307170023665,4.8030307170023665
1,44,10,1,-0.3969518171124134,0.622662197288016,1.0295717481935072,1.215382492530201,-0.13075876043018084,-0.03403878746604584,-1.9502788615472326,5.235987755982989,5.201948968516943,5.201948968516943
1,44,11,1,0.22203730416945539,1.218458997840568,0.3165835111205999,0.4813147008143747,-1.684465031906925,-0.24437364626385785,-14.001578555141974,5.759586531581287,5.515212885317429,5.515212885317429
1,45,0,1,-0.24448856341902872,0.7602691200400524,0.2927880996096074,0.4472040739401516,1.0958731154636134,0.2091807829347977,11.985176017406102,0.0,0.2091807829347977,0.2091807829347977
1,45,1,1,-0.540786360875062,0.5064170181340615,0.12470710220053895,0.19488025370320283,-0.6573837569864625,-0.1509586791836476,-8.649295198092403,0.5235987755982988,0.37264009641465123,0.37264009641465123
1,45,2,1,-1.1008802971171296,0.19918499710253923,-0.224892487959497,-0.3474227902787739,-0.7989007183160217,-0.17368341126888664,-9.951326437142127,1.0471975511965976,0.873514139927711,0.873514139927711
1,45,3,1,-1.4150695745200648,0.11143415294319114,0.5648681881788921,0.8035887545653017,-0.6421926561632871,-0.14828072748917584,-8.495859868259265,1.5707963267948966,1.4225155993057208,1.4225155993057208
1,45,4,1,-0.7491226724855526,0.3653747404419516,0.2515073809828305,0.3869422685275735,-0.6545958403804365,-0.15047069740224642,-8.62133590153884,2.0943951023931953,1.9439244049909488,1.9439244049909488
1,45,5,1,-0.0716646328821604,0.928457801146563,0.8789218450152563,1.10879180065377,-0.6963397766658131,-0.15761353276098636,-9.030590221351451,2.6179938779914944,2.460380345230508,2.460380345230508
1,45,6,1,-0.24792133248950893,0.7570363083905299,-0.4857354356158008,-0.7081544944483255,-0.04652210707319983,-0.012170680057086422,-0.6973286010750919,3.141592653589793,3.1294219735327067,3.1294219735327067
1,45,7,1,-0.249332287289577,0.7557091000268512,-1.2266579759672414,-1.3219935048092526,-1.748611917889301,-0.2464101263722328,-14.118260270414202,3.665191429188092,3.418781302815859,3.418781302815859
1,45,8,1,-1.3494600030392319,0.12607422822904757,-0.07607027543659427,-0.11926095599709927,0.7633245692091446,0.16834512949927213,9.645465421891586,4.1887902047863905,4.357135334285663,4.357135334285663
1,45,9,1,-1.3330960590583463,0.1299960060792289,1.1204836138913858,1.2687904186390642,1.1029648905876406,0.2098483072596258,12.023422343941073,4.71238898038469,4.9222372876443155,4.9222372876443155
1,45,10,1,-0.77414202897606,0.35066848339461665,0.7394890179664634,0.9877738112867418,1.2069046201894134,0.21879846345064607,12.536228519669418,5.235987755982989,5.454786219433635,5.454786219433635
