depth,seed,layer,mean_strength,std_strength,mean_abs_strength_minus_1,mean_polar_shift_rad,mean_abs_polar_shift_rad,mean_phase_shift_rad,mean_abs_phase_shift_rad,max_abs_phase_shift_rad,min_adjacent_phase_gap_rad,max_adjacent_phase_gap_rad,mean_adjacent_phase_gap_rad
1,42,1,0.6358499735084752,0.39945599559876366,0.46349805788757603,0.40528087065295343,0.6447418367793023,0.0010662500061428988,0.16829545770699042,0.24617583728993236,0.06475614938049773,0.9014917122614214,0.5235987755982988
1,43,1,0.5751310157911743,0.3474937213946911,0.4726162189039979,-0.5394360728346698,0.808208476768541,-0.04381139039650589,0.20112817055017773,0.2568802548242075,0.11473221786695653,0.9689412412931766,0.5235987755982988
1,44,1,0.5125356529160982,0.3407069881140799,0.52387418005733,-0.27741960394942006,0.7813085076794893,-0.024538087251810753,0.1585197853888153,0.2586423297017856,0.13115864814071676,0.9720361549209156,0.5235987755982989
1,45,1,0.5096627166995593,0.3478963364307068,0.5112257240447872,0.28986012084262397,0.7059987450981992,-0.00509052618674338,0.16817411623563364,0.2464101263722328,0.16345931347985354,0.9383540314698036,0.5235987755982988
1,46,1,0.6098097273685517,0.29102497948606304,0.3941797991990814,0.2752408160595496,0.6254789312798195,-0.018294150917867704,0.14961581448983727,0.20205679309931698,0.22327804721340824,0.8869082784137561,0.5235987755982988
2,42,1,0.8949154697829713,0.3262922143480189,0.28238677305119403,0.03955423124291745,0.23929365084218365,0.0019516766569324096,0.1160213098775686,0.19123697721283608,0.25956535687589266,0.8573322715735414,0.5235987755982988
2,42,2,0.4861928270796796,0.17142222308031402,0.5138071729203204,0.003617540608546112,0.2278336181319439,0.02232704091315503,0.09172026635872088,0.21394795248267157,0.11042298306876885,0.7611717960553848,0.5235987755982988
2,43,1,0.7395433056033988,0.4110347737209771,0.4226740355344083,-0.05780142702511062,0.36445884824957253,-0.02007135351251725,0.11054856866789982,0.20220230611517404,0.23257958193616268,0.8546114147829652,0.5235987755982988
2,43,2,0.7478389831957056,0.29350171821719817,0.3355821342148832,-0.12333800672773952,0.3991490460696581,0.03770797154996899,0.1486690422347508,0.23236796054570688,0.21004569149773555,0.9808750739229685,0.5235987755982988
2,44,1,0.9757937082248341,0.23186877892804333,0.1825940070654699,0.12698318921017304,0.20937825095320814,0.025381123766953523,0.09282257564577741,0.1768799692021709,0.28723418915284293,0.8658023336789746,0.5235987755982988
2,44,2,0.5284844936237767,0.1511309517977766,0.47151550637622336,-0.012611596213841005,0.20194957597279797,0.01308619380618138,0.0993268974928082,0.14760088841630534,0.269422248619275,0.8121642339855499,0.5235987755982988
2,45,1,0.8919437659755545,0.2971687453430982,0.25231486444720735,-0.07776938414966404,0.2787867811525457,0.021340048040847246,0.10919107285092366,0.16525702864741443,0.260001994992034,0.7473626640799744,0.5235987755982988
2,45,2,0.6123197584074422,0.15763595328649974,0.3876802415925576,-0.06260578678308765,0.22692700339645808,0.05502503973090653,0.07963069575451263,0.2118419163419564,0.2562831417518212,0.7206385644579125,0.5235987755982988
2,46,1,0.8901581523915123,0.4738028643094565,0.42812709356686535,0.040009026894758125,0.36883645632885553,-0.01903352747105114,0.11100333602633651,0.21233209630956454,0.313887969249417,0.9453879181259983,0.5235987755982988
2,46,2,0.5915735052773035,0.2550853833649909,0.4399311721270797,-0.0886454889091602,0.1927288690321878,0.03182063020367656,0.09934100543305326,0.19172148482240958,0.2864597157594182,0.8667196417960952,0.5235987755982988
3,42,1,0.6701673657812651,0.2755965540757931,0.3715725917638371,0.06183577686317465,0.23065673131899248,-0.010800603094012104,0.09552572424019122,0.19599579030618136,0.2809920692869874,0.8027215915340822,0.5235987755982988
3,42,2,0.8212145999231986,0.27442857387649294,0.25698376015352487,0.2874310193560237,0.46642158355457997,0.007129212091548089,0.10098362640431767,0.19953973151680343,0.2575043731380493,0.7204015235315073,0.5235987755982988
3,42,3,0.5215547714050337,0.12841264426968302,0.47844522859496635,-0.046911869160660015,0.1788319701205754,-0.0361721069943633,0.11478890480969789,0.21365180055339475,0.20309678640233386,0.8647275182555623,0.5235987755982989
3,43,1,0.7007638829762836,0.455561817420094,0.4603506340722599,0.2258266841639017,0.36882466416162757,0.008490737201528873,0.12871986877885003,0.22916110824184696,0.1649879155496743,0.77078222648222,0.5235987755982988
3,43,2,0.7237539472703443,0.25441775575237213,0.311509712260405,-0.16364895881787322,0.5290938261157427,0.024836404726218297,0.131494886420484,0.22414927081660735,0.20303890528634705,0.8224627160747318,0.5235987755982988
3,43,3,0.5090025215197367,0.18900965991254326,0.4909974784802633,-0.009121953740712575,0.18160545345858684,0.01169313531646255,0.11878518772449757,0.21262895673364765,0.23745802452020026,0.8863060449267349,0.5235987755982989
3,44,1,0.5708071671875695,0.19629484469822175,0.4291928328124306,0.09230331496171808,0.20158063333247744,-0.020627743574526923,0.09069840551002102,0.19504513262690593,0.35744217253551724,0.7149197366087712,0.5235987755982989
