depth,seed,model4_test_rmse,model5_test_rmse,rmse_improvement_model5,model4_pearson,model5_pearson,pearson_change_model5,model4_kge,model5_kge,kge_change_model5,model4_fft,model5_fft,fft_change_model5,model4_amplitude_ratio,model5_amplitude_ratio,amplitude_ratio_change_model5,model5_lower_rmse
1,42,56.007183943180806,56.18998550192246,-0.1828015587416516,0.5928612394158982,0.5952375617438151,0.0023763223279169576,0.5198163520255983,0.53179076876642,0.01197441674082167,0.9523700638339012,0.9576567697304356,0.005286705896534349,0.7492217035074968,0.770228572999285,0.021006869491788205,False
1,43,56.751499659012794,55.8347241562781,0.9167755027346942,0.5795183477727085,0.5862366606299367,0.006718312857228237,0.5118440679677374,0.4942569653918488,-0.01758710257588858,0.961109772615616,0.9595473570454146,-0.0015624155702014253,0.752218750110601,0.7095629670928641,-0.04265578301773687,True
1,44,54.329808713616515,53.076894451604204,1.252914262012311,0.6090304393765591,0.6338853650532016,0.024854925676642492,0.49930306992544937,0.526717153987138,0.02741408406168866,0.9719341654706948,0.9670880939588868,-0.004846071511807937,0.6880411900179331,0.7042760994732735,0.01623490945534045,True
1,45,56.070647942189524,55.81725069541288,0.2533972467766432,0.5963006492540376,0.5917256030155528,-0.0045750462384848145,0.5308494360743968,0.5102116581020479,-0.020637777972348892,0.963409834329263,0.963003619836667,-0.00040621449259592435,0.7665093581006436,0.7317551528355767,-0.034754205265066895,True
1,46,56.399412143652214,56.232221953629384,0.1671901900228292,0.5884941991991215,0.5891867134793615,0.0006925142802399753,0.5168074774510443,0.514475468283614,-0.00233200916743026,0.961422633304678,0.9627967966057572,0.001374163301079201,0.7528206650623265,0.746102306535537,-0.006718358526789481,True
2,42,48.66600232107217,51.659206654670186,-2.9932043335980154,0.7043297435196172,0.6540862746394983,-0.05024346888011888,0.5231119175061199,0.4847915112935579,-0.03832040621256194,0.9647249826065606,0.9651425782541776,0.0004175956476170084,0.6261736429556312,0.6196576365602018,-0.0065160063954293745,False
2,43,52.685582408399355,52.93023415132662,-0.24465174292726743,0.6366968231743301,0.63267926515245,-0.0040175580218800855,0.4879853919128865,0.5198047140307427,0.03181932211785621,0.9628524711445992,0.9622667853766804,-0.0005856857679187311,0.6423265065977581,0.6913590547385812,0.04903254814082303,False
2,44,53.010018780841506,53.22747605899113,-0.2174572781496238,0.6299756872399486,0.6245636574488779,-0.005412029791070694,0.4652118087120545,0.4853651429038285,0.02015333419177401,0.9704507469612283,0.967567998991972,-0.0028827479692563607,0.6157501045857993,0.648128085868616,0.03237798128281677,False
2,45,55.385191308960025,57.15424262328779,-1.7690513143277684,0.5862024641788522,0.5501429252484252,-0.036059538930427015,0.3950881493433105,0.39320360413054034,-0.00188454521277015,0.9737408131975164,0.974005164958477,0.00026435176096062385,0.5617067611284862,0.5962797818077715,0.03457302067928536,False
2,46,54.30523370158115,54.64877117356987,-0.34353747198871787,0.6128888705943568,0.6010181144937811,-0.011870756100575752,0.5175584184167015,0.48209111312799835,-0.03546730528870312,0.9600279151311836,0.9666962562999848,0.006668341168801217,0.7133155566361549,0.6699061256679175,-0.04340943096823735,False
3,42,54.66899324298008,56.335128744630666,-1.6661355016505865,0.5973177218770931,0.5685160133176161,-0.028801708559476946,0.425633806915806,0.43103560359471715,0.005401796678911164,0.9676433927222872,0.9706495925841224,0.003006199861835257,0.5911050368739255,0.631827501338354,0.04072246446442851,False
3,43,57.15044707549,57.66611621566949,-0.5156691401794902,0.5841721919218337,0.5778404299978356,-0.006331761923998092,0.5340906580664536,0.5185173551342613,-0.015573302932192279,0.976005851153796,0.9605666704554622,-0.015439180698333832,0.7925189000814289,0.7812410586311723,-0.011277841450256565,False
3,44,55.94288314395022,56.72287801391531,-0.779994869965094,0.5733587869253487,0.5610298220058104,-0.012328964919538277,0.4315474455964027,0.4371324871172596,0.005585041520856926,0.962309939442486,0.9629618714919476,0.0006519320494615677,0.6248352554142549,0.6482103480364779,0.023375092622223037,False
3,45,54.66154071692417,53.039957674126015,1.6215830427981572,0.6025912571377244,0.6297726983276126,0.02718144118988819,0.48222847332720364,0.5110365303024379,0.028808056975234253,0.9634668683092128,0.9736942115943278,0.010227343285114987,0.6704329962213523,0.6809044266709439,0.010471430449591534,True
3,46,56.69852656478492,55.031580444230144,1.6669461205547762,0.5657561122543275,0.5944963318168875,0.02874021956256001,0.4466059784554087,0.47636402020425295,0.02975804174884422,0.9694003652505644,0.9696189337808055,0.00021856853024115885,0.6605560336184364,0.6692112793093589,0.008655245690922464,True
4,42,52.556156743205754,56.68193941130518,-4.125782668099426,0.6374634916395386,0.5629431877634155,-0.07452030387612318,0.5013181702908989,0.4457811210202518,-0.055537049270647065,0.9672553586636128,0.9648919330435992,-0.0023634256200135706,0.6586869494163614,0.6592655463361564,0.0005785969197950047,False
4,43,56.61975366629617,56.26706166979066,0.35269199650551286,0.5834343128230679,0.5857679589757284,0.002333646152660518,0.47432574295870134,0.46989822089010935,-0.0044275220685919825,0.9694437765592944,0.969576231985827,0.00013245542653261833,0.6976579555254214,0.6843984621123435,-0.013259493413077972,True
4,44,53.51154588702285,57.71374537269671,-4.202199485673859,0.6190516388473596,0.5471663992829224,-0.07188523956443715,0.46495777337787114,0.4404600391510948,-0.02449773422677637,0.9674935077036476,0.9651626545078136,-0.0023308531958340373,0.6245828360382353,0.6727487206570911,0.04816588461885585,False
4,45,53.72002378673565,54.07353785495993,-0.35351406822427833,0.620421418517393,0.6148658870408403,-0.005555531476552633,0.49609482230693813,0.5062874182240107,0.010192595917072556,0.96851427498342,0.972148048961104,0.0036337739776839406,0.6725252774304357,0.6932155667176495,0.020690289287213837,False
4,46,55.15908513776881,55.37655103791711,-0.21746590014829792,0.5979362017910631,0.5937695483280393,-0.004166653463023806,0.48926489814501284,0.4831509402351576,-0.00611395790985525,0.9596919429300196,0.9612698955003476,0.0015779525703280006,0.6898476792851631,0.6854409120428577,-0.004406767242305376,False
