depth,n_seeds,test_rmse_mean,test_rmse_sd,test_mae_mean,test_mae_sd,test_pearson_mean,test_pearson_sd,test_spearman_mean,test_spearman_sd,test_kge_mean,test_kge_sd,test_nse_mean,test_nse_sd,test_fft_cosine_mean,test_fft_cosine_sd,test_amplitude_ratio_mean,test_amplitude_ratio_sd
1,5,55.430215351769405,1.3296623875818263,45.03218693661175,0.49896871584489066,0.5992543807843737,0.019640146157223076,0.6352622848849264,0.017885074423747635,0.5154904029062137,0.014760555330692248,0.3375030780169618,0.03128520449011379,0.9620185274354321,0.0036196763684678444,0.7323850197873073,0.027072369208412807
2,5,53.92398613236912,2.0953380227197083,44.05142100992627,2.1611664545071054,0.6124980473966064,0.03969380070872728,0.6518826456562306,0.032577611068995066,0.4730512170973336,0.04725652803799728,0.3725500285822131,0.049252865506331636,0.9671357567762584,0.004337291951391274,0.6450661369286176,0.0380628925207637
3,5,55.75913221851433,1.7902798460555336,46.04786480062073,0.9270662750309734,0.5863310590931525,0.02731056084465563,0.6199730458221024,0.0265500166248062,0.4748171992705858,0.04049969712204506,0.3293732290516913,0.04265666572631624,0.9674982559813332,0.005510075426195551,0.6822789227972614,0.058464028659067406
4,5,56.022567069333924,1.3757439024128921,46.184234566154075,0.9014906512155952,0.5809025962781893,0.02647360322360797,0.6132593821273067,0.022656439102816426,0.46911554790412485,0.027133864532449172,0.32325300738437307,0.03312424862331942,0.9666097527997384,0.004272932169231819,0.6790138415732196,0.013240442544661266
5,5,55.918192838924895,1.4347539819388033,46.26411147703503,1.5212552455926154,0.5775497764231836,0.029562489292297777,0.6261890939249428,0.03047741437696372,0.4060669982543329,0.028238315470356476,0.32574250900570517,0.03461790215050618,0.972208194336561,0.004148716328750406,0.5885425109549568,0.048073132916584924
6,5,56.45659514592056,1.2097985891405139,46.87124076373706,1.5313372069926263,0.5644026767569261,0.02714722967947395,0.5968712419655817,0.03388033651124423,0.40827609971225937,0.06934545483507262,0.3128054095824063,0.029487764456008123,0.9708937222509351,0.0032746856259473368,0.6033839945256598,0.08264358916481403
