encoding_order,encoding,encoding_label,depth,n_seeds,variational_parameter_count,encoding_parameter_count,total_parameter_count,train_rmse_original_mean,train_rmse_original_std,val_rmse_original_mean,val_rmse_original_std,test_rmse_original_mean,test_rmse_original_std,test_mae_original_mean,test_mae_original_std,test_pearson_corr_mean,test_pearson_corr_std,test_spearman_corr_mean,test_spearman_corr_std,test_kge_mean,test_kge_std,test_nse_mean,test_nse_std,test_bias_mean,test_bias_std,test_pred_std_over_true_std_mean,test_pred_std_over_true_std_std,test_fft_spectral_cosine_similarity_mean,test_fft_spectral_cosine_similarity_std,test_abs_12_step_band_error_mean,test_abs_12_step_band_error_std,test_signed_12_step_band_error_mean,test_signed_12_step_band_error_std,test_12_step_power_ratio_mean,test_12_step_power_ratio_std,test_abs_short_period_2_to_6_error_mean,test_abs_short_period_2_to_6_error_std,test_signed_short_period_2_to_6_error_mean,test_signed_short_period_2_to_6_error_std,test_short_period_2_to_6_power_ratio_mean,test_short_period_2_to_6_power_ratio_std,elapsed_time_min_mean,elapsed_time_min_std,max_rss_gb_python_mean,max_rss_gb_python_std
1,ry,Standard Ry,1,5,42,0,57,56.118790935583185,0.49309602615192655,62.20657710650919,1.2131926970851745,62.74589847105425,1.1475723777845317,51.12349172401922,1.2064950554360734,0.39047165564310027,0.03656341993834464,0.4051959361393324,0.04266312973615055,0.16330329091578222,0.037235928976633935,0.15125400045120382,0.030953654830641164,-0.21773053261249312,1.5841718345820692,0.4272444392791764,0.017714517557826295,0.9365947952728323,0.00696399126604939,0.01571455753848936,0.006478856487690301,-0.0015660365789743947,0.018643876782146112,0.9961277697499529,0.04609942361707488,0.05758433195806249,0.02739415420863185,0.05758433195806258,0.027394154208631852,1.1785660790005479,0.0849478762406108,33.52223126729329,2.0202836826957657,0.8297622680664063,0.019451761806278552
1,ry,Standard Ry,2,5,84,0,99,50.628611874282676,5.244932391124446,60.55759119802004,2.599618269240789,64.27470538961481,1.7241783871371206,54.29125029204231,1.0525759972142832,0.36346637653828306,0.04452599042829797,0.39876840140991077,0.04996591380199529,0.18424049064012507,0.06793678247977869,0.10911636016124526,0.047992698814172244,-2.009237940655548,3.728525811102021,0.4944525503993895,0.07728586148247923,0.8859715039666731,0.07197486037099994,0.10402192913232344,0.09053838367516061,-0.10402192913232353,0.09053838367516055,0.742792176081721,0.22386799437783245,0.07418722470025281,0.053044922053127865,0.06620722351938836,0.06491685901094454,1.2053052263240636,0.2013038717382001,61.13733047644297,4.557079204201187,1.3256538391113282,0.04218101353982763
1,ry,Standard Ry,3,5,126,0,141,46.41122865297913,11.400585782472122,60.83837076826738,3.903267862919919,68.3823086032311,4.5597399071505835,57.514277279100995,2.965641113111323,0.2809024312544728,0.0838888453057703,0.2979141613103876,0.13612836621750765,0.10730723776912476,0.1806670196252454,-0.011394093112714863,0.13579676511406838,-0.9025441690551205,2.2294687202120644,0.500707777325293,0.25086041795949887,0.6098995047265907,0.1537369628536029,0.2279904818113022,0.07305861297221337,-0.22799048181130224,0.07305861297221339,0.4362637167960088,0.1806469752850566,0.23436798457234848,0.044758494232055114,0.2343679845723486,0.044758494232055114,1.7267631771576994,0.13879380979547326,88.96568186203639,4.962967912875848,1.8156219482421876,0.015142430248898291
1,ry,Standard Ry,4,5,168,0,183,48.00901781378491,4.541712235957385,58.364545032023116,1.7135422586545697,66.83365427518179,2.9182063132845477,56.699840046218334,2.15741402256963,0.3080763400032795,0.04265618964369701,0.3281691893012647,0.051998646478959874,0.1535030154798617,0.032558498250885484,0.03585320999458992,0.08432887351313675,1.4028200437904086,1.7458394132688377,0.5213265136725032,0.09663373000725824,0.8876647202280958,0.049238840693987616,0.111867785432558,0.06149621258520631,-0.11186778543255811,0.06149621258520627,0.7233922702869361,0.1520574281807062,0.07735411473086647,0.10069824522738927,0.07451459481094459,0.10334011502955397,1.2310659613694097,0.32045243066693907,119.95684391578038,4.074282412659581,2.3250946044921874,0.008385838509163367
1,ry,Standard Ry,5,5,210,0,225,47.955660382164936,5.6927654010308135,62.58167299608205,1.2009339569864093,66.93123386718187,1.7654363470720678,56.50739924611814,1.0064214357551962,0.2774062843092959,0.05531742553503466,0.2794795770267468,0.04592829650522052,0.10219329560469848,0.08608736264242402,0.03397097490268074,0.051570048869005,2.936174846890767,1.4791520462358978,0.47172799010273864,0.09307418392574036,0.5857636162995162,0.06952740928701334,0.29119025295720685,0.018597903055654626,-0.2911902529572069,0.018597903055654667,0.2799940172801191,0.0459857475658142,0.2777033137629547,0.022407325525993046,0.2777033137629548,0.022407325525993046,1.8611438246817538,0.06948397461621073,147.451692896684,7.349614330833644,2.8079269409179686,0.007840376624529279
1,ry,Standard Ry,6,5,252,0,267,54.874490939944586,10.407405403548681,66.80780149534397,3.1767102124506326,67.6898751853823,0.9745770913224651,58.624756210334205,1.8616692936997112,0.09530927248780008,0.163251702364241,0.08941115488285298,0.13903313251426738,-0.218341258873399,0.24023601445709641,0.01233355975216508,0.028218468784544714,2.370022657065746,3.0900657128968883,0.18774268872849773,0.1910356234548855,0.3792922883139953,0.1981145670613172,0.33415533377237805,0.06012079152808728,-0.33415533377237805,0.060120791528087275,0.17375723592908718,0.14865651973742078,0.3399583137140293,0.07870417708092298,0.33995831371402935,0.07870417708092298,2.0541934071191905,0.24405764249449596,178.21587488969166,12.462732339151646,3.10714111328125,0.468915426812146
2,same_scalar_rxryrz,Same-scalar RxRyRz,1,5,42,0,57,57.438860631728176,2.0548658430541926,60.66701789866319,1.902989320999577,63.91352708249385,0.7872974800716791,53.677303807946046,1.096395568043579,0.3536506046165075,0.0322849805422832,0.3705100559817541,0.03280198072078614,0.11987361672619481,0.03801406239779522,0.11950044467154272,0.021749161829685067,-3.648825336958905,1.5118384936193727,0.4045840871067128,0.027862955019013348,0.7986637138731363,0.048415148501948176,0.14920514565504328,0.04812202299031595,-0.14920514565504334,0.04812202299031594,0.6310707641027735,0.11898799531144677,0.10859951978417645,0.06546216344389862,-0.10859951978417652,0.06546216344389864,0.6632384231994607,0.20299483299698734,43.22758062839508,0.6819232734173309,0.846942138671875,0.02262359181443269
2,same_scalar_rxryrz,Same-scalar RxRyRz,2,5,84,0,99,54.28772488716093,3.984087867359346,64.81697666349906,1.640121091005206,67.59449655198692,2.858742727680788,57.474764786114314,1.9157001929484743,0.2450734182911396,0.07349010728386268,0.27445573294629894,0.09092429719538149,0.03006567783321502,0.06465997662964212,0.01386918386516486,0.08365202785776331,-1.236386316719717,2.159611961395396,0.4022995478419741,0.12211430162701835,0.5511581020189907,0.13246777023046424,0.24883411135736844,0.03833863924885138,-0.2488341113573685,0.038338639248851385,0.3847251167832877,0.09479729952557484,0.18524630590808064,0.1300718636099763,0.18524630590808072,0.13007186360997633,1.5744393547785278,0.40334622080955707,78.42720515330633,4.0162478187085195,1.5353103637695313,0.01899542869286029
2,same_scalar_rxryrz,Same-scalar RxRyRz,3,5,126,0,141,48.3795439622506,8.830741346138094,59.86481491728222,4.867503393716298,69.7525250195159,4.201584821873319,57.927078739706495,3.152288829352186,0.2160137804947809,0.051000066384222824,0.23350818992328426,0.06939898245592883,0.05371354387734606,0.10249333903823142,-0.05164583583138371,0.13136723247908658,-2.284378937788264,2.9151243815011907,0.4874184209484606,0.16878693276194764,0.6743604066939417,0.0967250603357764,0.23159229368831027,0.028398311584204035,-0.2315922936883103,0.028398311584204108,0.42735776587993035,0.0702185393642799,0.14268399547275828,0.030461938297622206,0.1426839954727584,0.030461938297622206,1.442455799022864,0.09446091837141522,112.10933662494024,3.635042554789715,2.2627662658691405,0.007601913837278954
2,same_scalar_rxryrz,Same-scalar RxRyRz,4,5,168,0,183,52.53813725025683,7.140714545733264,64.06988446307143,3.0737998129158113,66.09274545683427,3.9711278415163416,55.54820499072012,2.5236919767881485,0.2767404759603346,0.12158602977309331,0.3029027576197387,0.0999680666417441,0.0300991977256091,0.14370152671265907,0.05582844380894085,0.11329654866402636,0.3985809892142216,2.803361441495565,0.3644483825165007,0.14792006464965649,0.7259900197382952,0.16725206476169088,0.19379851254914013,0.11085829385892011,-0.1937985125491402,0.11085829385892008,0.5208078324719853,0.2741116297744733,0.13604359491537094,0.07544515181968374,0.13604359491537102,0.07544515181968374,1.4218642552781302,0.2339515712338786,158.1530589675903,5.8732661299308955,2.9888687133789062,0.008420916348818409
