depth,seed,rmse_improvement_azimuth_vs_polar,mae_improvement_azimuth_vs_polar,pearson_improvement_azimuth_vs_polar,spearman_improvement_azimuth_vs_polar,kge_improvement_azimuth_vs_polar,fft_improvement_azimuth_vs_polar,amplitude_ratio_change_azimuth_vs_polar
1,42,-0.1828015587416516,-0.05069639418919536,0.0023763223279169576,0.004509641302094303,0.01197441674082167,0.005286705896534349,0.021006869491788205
1,43,0.9167755027347013,0.7402454395441893,0.006718312857228237,-0.01905453037528504,-0.01758710257588858,-0.0015624155702014253,-0.04265578301773687
1,44,1.252914262012311,0.6976067905919621,0.024854925676642492,0.02953555878084191,0.027414084061688715,-0.004846071511807937,0.01623490945534045
1,45,0.2533972467766361,0.3208350091870642,-0.0045750462384848145,-0.010688368235537982,-0.020637777972348892,-0.00040621449259592435,-0.034754205265066895
1,46,0.1671901900228292,0.05061616259453672,0.0006925142802399753,-0.007827078581795432,-0.00233200916743026,0.001374163301079201,-0.006718358526789481
2,42,-2.9932043335980154,-2.258505255599154,-0.05024346888011888,-0.05289239062823958,-0.03832040621256194,0.0004175956476170084,-0.0065160063954293745
2,43,-0.24465174292726033,0.9924351521323871,-0.0040175580218800855,-0.005587808417996998,0.03181932211785621,-0.0005856857679187311,0.04903254814082303
2,44,-0.21745727814961668,-0.14376954615617166,-0.005412029791070694,0.006157992950445723,0.02015333419177401,-0.0028827479692563607,0.03237798128281677
2,45,-1.7690513143277684,-0.5173608233474454,-0.036059538930427015,-0.014171677379224534,-0.0018845452127702056,0.00026435176096062385,0.03457302067928536
2,46,-0.34353747198871787,-0.2120378352465977,-0.011870756100575752,-0.04896330085009326,-0.03546730528870318,0.006668341168801217,-0.04340943096823735
3,42,-1.6661355016505865,-1.147210631779103,-0.028801708559476946,-0.017115902964959573,0.005401796678911108,0.003006199861835257,0.04072246446442851
3,43,-0.5156691401794902,-0.9038650228265581,-0.006331761923998092,-0.007205059091851429,-0.015573302932192279,-0.015439180698333832,-0.011277841450256565
3,44,-0.779994869965094,-0.5959679643863467,-0.012328964919538277,-0.01021148662658089,0.005585041520856926,0.0006519320494615677,0.023375092622223037
3,45,1.6215830427981572,-0.20343465135758265,0.02718144118988819,0.03159859008915611,0.02880805697523431,0.010227343285114987,0.010471430449591534
3,46,1.6669461205547762,1.532288444349085,0.02874021956256001,0.017986730250881156,0.029758041748844166,0.00021856853024115885,0.008655245690922464
4,42,-4.1257826680994185,-3.6373773933981965,-0.07452030387612318,-0.08732116939664092,-0.055537049270647065,-0.0023634256200135706,0.0005785969197950047
4,43,0.35269199650551286,0.8244099431780683,0.002333646152660518,0.0007671573709309154,-0.0044275220685919825,0.00013245542653261833,-0.013259493413077972
4,44,-4.202199485673859,-2.020861344798483,-0.07188523956443715,-0.062326352892390524,-0.024497734226776313,-0.0023308531958340373,0.04816588461885585
4,45,-0.35351406822427833,0.003371410224744409,-0.005555531476552633,-0.024300228073812935,0.010192595917072611,0.0036337739776839406,0.020690289287213837
4,46,-0.21746590014829792,-0.45334047976079717,-0.004166653463023806,-0.003400373211693841,-0.006113957909855194,0.0015779525703280006,-0.004406767242305376
5,42,-2.2627069135634557,1.3099837904274594,-0.034251086784438,-0.004665146174580137,0.04705631536830551,-0.004275759221099351,0.11177278903360244
5,43,-0.6015600793700813,-0.37334540095594804,-0.02014152093671584,-0.014213145345220779,0.043950581712420944,-0.005225312365549795,0.0782466502165895
5,44,1.8885518148290075,1.7086015926732685,0.039560149424931024,0.0318473978851338,0.019369792761476268,0.0035203497760906144,-0.013707479405864142
5,45,-0.7885329633048315,-1.4183353701989816,-0.013354848095192606,-0.0038254198631557657,-0.05252108499770869,0.0017936544111940567,-0.06017896714714832
5,46,-0.45276241251618643,-1.4290376132799167,-0.0026623519174771015,0.006209827907941001,-0.03665324156007249,0.001228437961784401,-0.04371784138536261
6,42,2.32515921442306,1.1559608276898885,0.04370170093088244,-0.005929919137466211,0.026115441962987873,-0.0012048327771806422,-0.010503216509352598
6,43,-0.37988166154723757,-0.5318217627121768,-0.00949470811155484,-0.011300020733983063,-0.05363333889868532,-0.004506596815355035,-0.0666546093531144
6,44,-3.0028585484275467,-1.5318198025912437,-0.03941430405649837,-0.015477918308107075,0.022763125454286992,0.005550709858516356,0.08943247315528335
6,45,-1.5306807294185276,-2.1887913045679497,-0.033349612474675605,-0.0403690648973668,-0.013708545650075288,-0.0040751737405692046,0.012640983684078289
6,46,-1.1802785247738399,0.27231917349671164,-0.04159264747758418,-0.07696454488907323,0.042968905893840614,0.00048194485000996323,0.09008043529433019
