candidate_encoding,depth,mean,std,n_better
same_scalar_rxryrz,1,-1.1676286114395922,1.7772407573237026,1
same_scalar_rxryrz,2,-3.3197911623721383,3.4922923588125916,1
same_scalar_rxryrz,3,-1.370216416284805,7.638115681461514,2
same_scalar_rxryrz,4,0.7409088183474992,4.784659344642382,3
same_scalar_rxryrz,5,1.428802599691886,1.189118625335876,4
same_scalar_rxryrz,6,-1.2785290949935586,1.9876512490623683,2
seasonal_meridian,1,7.374968895200783,1.344756173246885,5
seasonal_meridian,2,5.558789637694135,2.470953333346986,5
seasonal_meridian,3,9.469890535356054,5.255077487565328,5
seasonal_meridian,4,6.152862356440808,4.398586845064238,5
seasonal_meridian,5,3.5428249881303273,3.8030442659839157,4
seasonal_meridian,6,5.15185957636704,1.4945611027253738,5
learnable_seasonal_cdf,1,6.834187990723878,0.3668678879601781,5
learnable_seasonal_cdf,2,11.464299685443956,4.022460534031501,5
learnable_seasonal_cdf,3,12.55783045440521,3.74576921578966,5
learnable_seasonal_cdf,4,12.520341230975927,3.8794620431330977,5
learnable_seasonal_cdf,5,11.456443139042081,2.2958351182281427,5
learnable_seasonal_cdf,6,11.986988089410579,1.4591850119727072,5
learnable_seasonal_cdf_rz,1,7.315683119284843,0.8419382873467275,5
learnable_seasonal_cdf_rz,2,10.35071925724568,3.302784933195651,5
learnable_seasonal_cdf_rz,3,12.62317638471676,4.580245524016589,5
learnable_seasonal_cdf_rz,4,10.811087205847858,3.2225669843946796,5
learnable_seasonal_cdf_rz,5,11.013041028256971,1.1925422553391871,5
learnable_seasonal_cdf_rz,6,11.23328003946176,1.3306712229111128,5
