depth,seed,rmse_improvement_learnable_vs_fixed,mae_improvement_learnable_vs_fixed,pearson_improvement_learnable_vs_fixed,kge_improvement_learnable_vs_fixed,fft_improvement_learnable_vs_fixed
1,42,-0.1567465390089282,1.6798744116971491,0.015589608442878489,0.08325670647747568,-0.005989236625451366
1,43,-2.1557364591951185,-0.6850639426449732,-0.01873070229007645,0.074092536776452,-0.0031498316986882102
1,44,0.5873371900218487,-0.9390011678890815,0.014097146720176701,0.029934671254464917,0.01173975644069436
1,45,-0.23702116690184027,0.1218099620704578,0.011420563463250044,0.05473761801433413,0.0009257899599389718
1,46,-0.7417375473004881,-0.14907452998598814,0.009836521978585644,0.08716379061471047,-0.0016897066175591835
2,42,11.039717110790278,11.261824725200633,0.202801076608092,0.14727701607329524,-0.008446869191028439
2,43,4.0475131465935235,3.5887792711159605,0.08126276507391506,0.09790598466645006,0.00567067012110678
2,44,4.427998558700423,5.6854562426513695,0.06430251675656273,0.2069634881148142,-0.004664044214095608
2,45,6.82510561345218,4.415686193241342,0.14243951189996096,0.0687984578429644,0.03629223377918356
2,46,3.1872158092127023,2.0813093043268935,0.06503042778338786,0.08607801442861618,-0.0021265578497896565
3,42,5.207460336000324,4.017452081597803,0.12033502610869051,0.1688366700686449,0.005684593076428324
3,43,1.0037828315495574,1.5181925752735452,0.057226103882717205,0.15024978367805591,0.026280590284917027
3,44,4.224300632657567,5.4229611071943395,0.1038986718273095,0.1738218190676405,0.010734554594297174
3,45,2.501191914315285,2.143548788505413,0.05557814202979372,0.1654513085977778,0.004347918706363418
3,46,2.502963880723037,4.054807241539322,0.06616924079532355,0.19557101398613103,0.006060298565408351
4,42,4.877099416697838,6.200850747889369,0.05750320441034873,0.25653073193889786,-0.004261044276459236
4,43,4.431487283803442,4.77596147656412,0.12898445971561,0.18509848352304548,-0.005684823805670591
4,44,10.252351168905726,6.534530158622552,0.2146738619140271,0.1804381820391392,0.04784048540828256
4,45,6.342984684390714,7.08815162017931,0.1458032669511803,0.2243081981606851,0.01879223929067686
4,46,5.9334718188778695,6.04764392199651,0.1356443693337464,0.24089417423305137,0.022994702206768025
5,42,4.655287600557905,4.983153094206557,0.11058987061803094,0.12376255683490922,0.05232214622578335
5,43,6.9518501024545785,6.23467780710385,0.2010838311876756,0.23580137821865726,0.04859893363016776
5,44,9.259378506769849,8.235196821369932,0.2230956627523495,0.1995059135839812,0.1589192176184826
5,45,10.533545847525822,10.38254265911695,0.2754373871839442,0.34614142721480146,0.06669160220067283
5,46,8.168028697250612,7.786126200679348,0.1972251417776783,0.2447490729850505,0.0697489310972601
6,42,4.521791542352865,4.667706133656203,0.1254885773610661,0.2164578108981246,0.08107340616654601
6,43,3.916321921638655,3.2438131927603067,0.09753657018576628,0.23173481502323504,0.19862595555163143
6,44,10.874214830882018,10.68645576784239,0.2621304811348971,0.2812572966911659,0.08525023958180822
6,45,8.498400554070024,7.629561597810763,0.22981676990030803,0.31526215432867744,0.13090366514678398
6,46,6.364913716274131,4.981256012514528,0.13977904771088856,0.2308363722624702,0.11443547049467573
