depth,mean,std,n_learnable_better
1,-0.5407809044769053,1.0199102685013153,1
2,5.9055100477498215,3.1713583218739814,5
3,3.087939919049154,1.6442219604690829,5
4,6.367478874535118,2.3049126448201114,5
5,7.913618150911754,2.2517511269773784,5
6,6.835128513043538,2.879789661524961,5
