depth,n_pairs,mean_rmse_improvement_azimuth_vs_polar,std_rmse_improvement_azimuth_vs_polar,median_rmse_improvement_azimuth_vs_polar,azimuth_better_seed_count,mean_mae_improvement_azimuth_vs_polar,mean_pearson_improvement_azimuth_vs_polar,mean_spearman_improvement_azimuth_vs_polar,mean_kge_improvement_azimuth_vs_polar,mean_fft_improvement_azimuth_vs_polar,mean_amplitude_ratio_change_azimuth_vs_polar
1,5,0.4814951285609652,0.5866563752361434,0.2533972467766361,4,0.3517214015457114,0.006013405780708569,-0.0007049554219364484,-0.00023367778263146954,-3.0766475398347204e-05,-0.009377313572492918
2,5,-1.1135804281982757,1.2362916345730741,-0.34353747198871787,0,-0.42784766164339627,-0.021520670344814485,-0.02309143686502173,-0.004739920080881021,0.0007763709680407516,0.013211622547851687
3,5,0.06534593031155253,1.5030971899421133,-0.5156691401794902,2,-0.26363796520010113,0.0016918450698869768,0.0030105743313290747,0.010795926798330847,-0.0002670273943361723,0.014389278355381795
4,5,-1.7092540251280681,2.2566275605570985,-0.35351406822427833,1,-1.056759572910933,-0.030758816445495253,-0.03531619324072146,-0.01607673351175959,0.00012998063173939035,0.010353702034096269
5,5,-0.4434021107851095,1.4909808801788724,-0.6015600793700813,1,-0.040426600266823695,-0.006169931661778505,0.0030707028820236236,0.004240472656884309,-0.0005917258875160148,0.014483030262363372
6,5,-0.7537080499488183,1.9661826390068675,-1.1802785247738399,1,-0.564830573736954,-0.016029914237886113,-0.030008293593199276,0.0049011177524709735,-0.0007507897249157125,0.022999213254244966
