encoding,epsilon,n_pairs,mean_delta_norm,mean_D_derivative,median_D_derivative,mean_D_curvature,mean_relative_method_difference,max_relative_method_difference,reference_mean_D,relative_change_vs_smallest_epsilon
learnable_seasonal_cdf,0.0003,16,2.645858300126161,4.616301025921883,4.509562482270152,4.616302059285489,2.0782927741538726e-07,2.859384420068093e-07,4.616301025921883,0.0
learnable_seasonal_cdf,0.001,16,2.645858300126161,4.616280615655333,4.509544929697801,4.6162916539360666,2.192928151893652e-06,3.12086036162226e-06,4.616301025921883,4.42134653611875e-06
learnable_seasonal_cdf,0.003,16,2.645858300126161,4.616101190022158,4.509390625104651,4.616200497553855,1.972776883689985e-05,2.8083082983835913e-05,4.616301025921883,4.328918296349886e-05
learnable_seasonal_cdf,0.01,16,2.645858300126161,4.61406089091054,4.507635882450759,4.615163805727733,0.00021919937651567088,0.00031203975068977885,4.616301025921883,0.00048526623345488074
ry,0.0003,16,1.4920535053208592,34.4608296436698,33.33749814974664,34.46088812086857,1.513333067213877e-06,2.6115089482187744e-06,34.4608296436698,0.0
ry,0.001,16,1.4920535053208592,34.45963539909942,33.33651466110743,34.46028483879149,1.68016414424556e-05,2.901426633335217e-05,34.4608296436698,3.4655131136619724e-05
ry,0.003,16,1.4920535053208592,34.44913909011841,33.327870230106576,34.45498211727227,0.00015121453168539124,0.000261129538712765,34.4608296436698,0.0003392417905277228
ry,0.01,16,1.4920535053208592,34.33006446863554,33.22974463629588,34.39474671470745,0.001680260405082614,0.0029015907301992378,34.4608296436698,0.0037946032172291705
same_scalar_rxryrz,0.0003,16,1.4920535053208592,136.14585285989423,123.10212063180292,136.1474034925388,8.617461880988752e-06,2.9821603009728598e-05,136.14585285989423,0.0
same_scalar_rxryrz,0.001,16,1.4920535053208592,136.1199712869918,123.0858089354381,136.1371958300342,9.574606265920943e-05,0.0003313668469410912,136.14585285989423,0.00019010180889648558
same_scalar_rxryrz,0.003,16,1.4920535053208592,135.89284449748232,122.94254251952917,136.04751037305311,0.0008617813089123346,0.0029834523234465995,136.14585285989423,0.0018583626096366367
same_scalar_rxryrz,0.01,16,1.4920535053208592,133.35938902065925,121.32957886133171,135.0338853918288,0.009582940052277934,0.03328569998160564,136.14585285989423,0.020466755179847407
seasonal_meridian,0.0003,16,2.645858300126161,10.697927237455437,11.057789830385811,10.69793273762412,4.810212529213449e-07,6.635334826793359e-07,10.697927237455437,0.0
seasonal_meridian,0.001,16,2.645858300126161,10.697816643651224,11.057679157204662,10.69787718948126,5.284171949841816e-06,7.375728733404654e-06,10.697927237455437,1.0337872165094797e-05
seasonal_meridian,0.003,16,2.645858300126161,10.69684445757218,11.056706268689563,10.69738927225419,4.7552955274462155e-05,6.637986874760105e-05,10.697927237455437,0.00010121398839448787
seasonal_meridian,0.01,16,2.645858300126161,10.685794323400406,11.045647561446449,10.69184142694777,0.0005283759501852283,0.0007375865827419473,10.697927237455437,0.001134136902011312
