encoding,depth,seed,tau,n_pairs,mean_fidelity,std_fidelity_over_time,median_fidelity,min_fidelity,max_fidelity,mean_infidelity,mean_log_fidelity,geometric_mean_fidelity,mean_fidelity_over_haar,median_fidelity_over_haar
learnable_seasonal_cdf,1,42,12,93,0.3655976951836405,0.1147379072786143,0.3745927521307278,0.1279971589577634,0.5600029203760692,0.6344023048163594,-1.0664342365871644,0.3442337878544124,5989.952637888767,6137.327650909845
learnable_seasonal_cdf,1,43,12,93,0.5126883795954317,0.1292190604160064,0.5063209322203215,0.2446307122444954,0.7655347147891717,0.4873116204045682,-0.7017636470735089,0.495710274421935,8399.886411291553,8295.562153497747
learnable_seasonal_cdf,1,44,12,93,0.4718228109387928,0.1372190553849053,0.4285142241450127,0.2404204086169777,0.7198583291466738,0.528177189061207,-0.7939507576878072,0.4520553017236465,7730.344934421182,7020.7770483918885
learnable_seasonal_cdf,1,45,12,93,0.5336034635598836,0.1327069299376618,0.5233128660369674,0.293679508458263,0.7948857094680453,0.4663965364401164,-0.6613992352263453,0.5161286436228661,8742.559146965134,8573.957997149673
learnable_seasonal_cdf,1,46,12,93,0.466136719642127,0.1114408484125158,0.4481597158600507,0.2628233552696375,0.769370470542487,0.533863280357873,-0.7914726404507872,0.4531769369567336,7637.18401461661,7342.648784651071
learnable_seasonal_cdf,2,42,12,93,0.1674628729775678,0.0753929615775622,0.149372620230217,0.0311084487553342,0.5603032128129818,0.8325371270224321,-1.8766551582098967,0.1531013500583794,2743.711710864471,2447.321009851876
learnable_seasonal_cdf,2,43,12,93,0.1038709982837577,0.0630975503547591,0.0951983767619773,0.0060450084889194,0.3647259116749975,0.8961290017162423,-2.481092712194054,0.0836517683257572,1701.8224358810876,1559.730204868236
learnable_seasonal_cdf,2,44,12,93,0.0981893737986143,0.0513137097156028,0.0936236182274991,0.016688554907746,0.3671882507136627,0.9018106262013856,-2.434981634044073,0.087599355879193,1608.7347003164978,1533.9293610393468
learnable_seasonal_cdf,2,45,12,93,0.0746850262810647,0.0657395146132518,0.0676234372832092,0.0006880635700167,0.4822218549718552,0.9253149737189352,-2.971586852106324,0.0512219641251271,1223.639470588965,1107.9423964480995
learnable_seasonal_cdf,2,46,12,93,0.0788700072424208,0.0530291531160635,0.0694480384661897,0.0061174826876519,0.2695375706819434,0.9211299927575792,-2.801339471502747,0.0607286638071201,1292.2061986598237,1137.8366622300532
