encoding,depth,seasonal_lag,n_seeds,log10_prominence_mean,log10_prominence_std,prominence_ratio_mean,prominence_ratio_std,center_fidelity_mean,center_fidelity_std
learnable_seasonal_cdf,1,12,5,2.600244189398552,0.3080863151282672,486.0380708726144,331.3407710792193,0.46996981378397507,0.06477997877251326
learnable_seasonal_cdf,1,24,5,2.5935173352743712,0.31629485036870186,480.9745701227815,326.1228386407294,0.4396367956768074,0.0643047464400645
learnable_seasonal_cdf,1,36,5,2.6758612695473696,0.22598371858457908,528.2282940757733,271.79403271934166,0.40003049019008136,0.055829982088477885
learnable_seasonal_cdf,2,12,5,2.1667235375305998,0.4950738098036229,243.41294186414615,257.5416288993458,0.10461565571668505,0.0372501856545452
learnable_seasonal_cdf,2,24,5,2.387432342299254,0.5360428840702037,444.68783295800614,507.1549104880193,0.17598381813824565,0.03708856252679
learnable_seasonal_cdf,2,36,5,2.1678600458299018,0.4767026437905208,241.88630810766168,272.6811454246302,0.08750157697105124,0.029476609398417283
learnable_seasonal_cdf,3,12,5,2.275335352605955,0.12281524954317427,194.9634964212754,59.82851066246501,0.05568872224266834,0.008908320447942894
learnable_seasonal_cdf,3,24,5,2.6228553812067896,0.19838754419576438,460.44624417196957,247.39901503455653,0.11912290338977245,0.01575337981544838
learnable_seasonal_cdf,3,36,5,2.2559217659552537,0.07905222605210475,182.63946423337353,32.54822150746527,0.0457570736881518,0.012122043563896437
learnable_seasonal_cdf,4,12,5,2.228532298940811,0.10774995168009968,173.57854967936018,44.71592965801127,0.0290800388415093,0.006084492502001914
learnable_seasonal_cdf,4,24,5,2.5383691163941284,0.11497934463197548,354.8176459128846,87.49982042930672,0.06708927374082659,0.0065715764504375804
learnable_seasonal_cdf,4,36,5,2.1520628925417897,0.15817389225107537,150.44272488755527,62.86755945245875,0.02186870268641776,0.004445757736831247
learnable_seasonal_cdf,5,12,5,2.1041298211234802,0.0851838929229162,129.1579452723904,27.120449787391117,0.0181857616747326,0.007686578707043493
learnable_seasonal_cdf,5,24,5,2.542574925792498,0.12313906492107117,359.721639530578,96.00141331126159,0.05520387024481318,0.012932169229622993
learnable_seasonal_cdf,5,36,5,2.020373497582134,0.15900260354202633,111.03514078507314,45.54506214442278,0.01441925134389542,0.008630234614244772
learnable_seasonal_cdf,6,12,5,2.156413873617088,0.1960555364366932,155.73478447816632,72.37680929471371,0.014907016924732822,0.008765047204546617
learnable_seasonal_cdf,6,24,5,2.5922578501534397,0.1484781944080741,410.05628252387476,143.3350012938124,0.04397475869254332,0.015481816700594713
learnable_seasonal_cdf,6,36,5,1.9665109279295165,0.2406903991413857,104.01356221617864,54.66978706678452,0.00975406581425926,0.0065050057384293865
learnable_seasonal_cdf_rz,1,12,5,2.552279156679993,0.20219565611330706,386.64063446264714,162.00573323338034,0.49983299145730753,0.0633500766390837
learnable_seasonal_cdf_rz,1,24,5,2.5372067792812962,0.23948062038191262,382.06185556155896,166.75353373375938,0.464355120108472,0.04869228611494351
learnable_seasonal_cdf_rz,1,36,5,2.617936202073726,0.2009078391187762,447.440429759554,172.45682791299492,0.43812657375963865,0.04175544594471081
learnable_seasonal_cdf_rz,2,12,5,2.206644531004186,0.4236717783134119,236.2216944361362,222.46959707078105,0.105998340618885,0.021232379558968808
learnable_seasonal_cdf_rz,2,24,5,2.3961140369395393,0.45626088094716916,385.4442404099656,381.4070616995762,0.168194880901659,0.015440800814335872
learnable_seasonal_cdf_rz,2,36,5,2.1394903772275615,0.40869032577239567,195.73182621896706,176.63645421294254,0.07905319907307548,0.00923886033474683
learnable_seasonal_cdf_rz,3,12,5,2.240583265411467,0.16886966424396332,183.59913905743494,59.618516882378735,0.06410696762392913,0.00683624092733308
learnable_seasonal_cdf_rz,3,24,5,2.524887977015287,0.16430097143400801,352.76389099294175,115.64605010853367,0.12171678937362344,0.01216015941826733
learnable_seasonal_cdf_rz,3,36,5,2.2427544143854448,0.09758780679194287,178.30590717118653,37.71577047019059,0.051275671442606016,0.003137213009491153
learnable_seasonal_cdf_rz,4,12,5,2.202191114103119,0.09495079160517417,162.58265892586567,39.32079705897733,0.02498778522927548,0.005271965990939135
learnable_seasonal_cdf_rz,4,24,5,2.5109636557789696,0.09256532077473237,330.09791770030944,67.43938686394537,0.06044604346185785,0.013732094336699642
learnable_seasonal_cdf_rz,4,36,5,2.0965355419093687,0.09071933794446019,127.28356631470135,30.038495748886536,0.01813383249274192,0.0033193545373536035
learnable_seasonal_cdf_rz,5,12,5,2.0898088066136884,0.10931971715021317,126.43945230282672,36.46066206141169,0.01614487144174904,0.007656667786910753
learnable_seasonal_cdf_rz,5,24,5,2.558955394065804,0.10388396552406935,370.3475146289035,84.59060497368657,0.0492633887877355,0.01447546219961188
learnable_seasonal_cdf_rz,5,36,5,2.0158213798317965,0.200577569635526,113.7063584368641,59.18105429093936,0.01292820994707014,0.008346765835085125
learnable_seasonal_cdf_rz,6,12,5,2.0740709143892007,0.15933560873858005,125.0882034382073,45.47125604361307,0.01204690065218026,0.004911997876858312
learnable_seasonal_cdf_rz,6,24,5,2.491665696913448,0.1525046935000509,325.86561708213713,115.2348022953673,0.03585080717217022,0.011303896023587563
learnable_seasonal_cdf_rz,6,36,5,1.8822252703128108,0.1822293757843466,81.27474947297078,29.820203717485516,0.0071683946133610996,0.0030916843392862063
ry,1,12,5,0.20016103507723146,7.928578270080922e-16,1.58548097501919,2.9310728916085627e-15,0.0055234276221065,0.0
ry,1,24,5,0.7885724564226881,1.870981097424087e-15,6.145715564762368,2.6298931511613205e-14,0.022351162899506078,8.407594631646305e-17
ry,1,36,5,0.27568440708471353,0.0,1.8866198827756784,0.0,0.0016935913506744,0.0
ry,2,12,5,0.344361669334644,0.09369933023988627,2.249499683320173,0.4534815089110627,0.0019018576293303598,0.0003582941935895708
ry,2,24,5,0.33158473336962146,0.08516953446264153,2.177496305796343,0.39842237080655524,0.0031066257531686,0.0005028641191769078
