encoding,depth,seed,seasonal_lag,center_fidelity,neighbor_geometric_mean_fidelity,neighbor_arithmetic_mean_fidelity,log10_seasonal_prominence,seasonal_prominence_ratio,seasonal_prominence_arithmetic_ratio
learnable_seasonal_cdf,1,42,12,0.3655976951836405,0.001657416310113245,0.002518778811523275,2.3435718408886173,220.58289939156,145.1487893700912
learnable_seasonal_cdf,1,42,24,0.3437576173709475,0.0013597100244868293,0.002433411815568275,2.402806031129515,252.81685887451314,141.26569747532426
learnable_seasonal_cdf,1,42,36,0.3473530594938128,0.0011140884498619542,0.0020675757683428003,2.4938514567299555,311.7823001727136,168.0001598065848
learnable_seasonal_cdf,1,43,12,0.5126883795954317,0.0006198375911642788,0.0019004859938478867,2.9175755627233264,827.133408660191,269.76698657873237
learnable_seasonal_cdf,1,43,24,0.4727759406270174,0.0005643696342576769,0.002034945063401562,2.9230917287442044,837.7061980821596,232.3286014595093
learnable_seasonal_cdf,1,43,36,0.3768471077973704,0.000495147798109122,0.002315372259650065,2.8814303344142034,761.0800436485425,162.75875562849035
learnable_seasonal_cdf,1,44,12,0.4718228109387928,0.002375536925067625,0.006653281450220626,2.2980171482057488,198.6173340266481,70.91580515102768
learnable_seasonal_cdf,1,44,24,0.4052073004483669,0.00246314197741714,0.0074985868937157505,2.216187815626604,164.5083004404273,54.037821551145065
learnable_seasonal_cdf,1,44,36,0.3610750685489465,0.0013129224594220013,0.0031204422955716502,2.439358424748505,275.0162935805862,115.71278503094359
learnable_seasonal_cdf,1,45,12,0.5336034635598836,0.0006180887834902534,0.0021328542170856567,2.9361677773897106,863.3119995265178,250.18281103572198
learnable_seasonal_cdf,1,45,24,0.5013179929552358,0.0006053048207406796,0.0019061472548954925,2.9181391595726116,828.2075010435228,263.0006635991622
learnable_seasonal_cdf,1,45,36,0.4803149919070555,0.0005503430855011527,0.0017230644053047185,2.9408926279559315,872.7555675014464,278.75626147712876
learnable_seasonal_cdf,1,46,12,0.466136719642127,0.0014542018666638182,0.00362680100527015,2.5058886177853563,320.5447127581553,128.5255846584298
learnable_seasonal_cdf,1,46,24,0.4751251269824695,0.0014772229880680322,0.0032733328100226747,2.5073619412989196,321.63399217328447,145.15026566430262
learnable_seasonal_cdf,1,46,36,0.4345622232032213,0.0010334238166176462,0.002689902615676575,2.6237735038882537,420.5072654755777,161.55314347464528
learnable_seasonal_cdf,2,42,12,0.1674628729775678,0.0024827277718741094,0.009271778020206225,1.8289894353567244,67.45116193353607,18.061570565280103
learnable_seasonal_cdf,2,42,24,0.2401581417236251,0.002549818051414929,0.010101346280059225,1.973988123082516,94.18638384427389,23.774864762107438
learnable_seasonal_cdf,2,42,36,0.1360712039919433,0.0022643176788602003,0.00871746178568775,1.7788288701853205,60.09368970719604,15.609039343922767
learnable_seasonal_cdf,2,43,12,0.1038709982837577,0.00016284436257880068,0.0002716684071334889,2.8047215770052474,637.8544313039655,382.3447834061872
learnable_seasonal_cdf,2,43,24,0.1706426924084044,0.0001388824094420909,0.00025071397561443414,3.0894404524315497,1228.6847059602346,680.6269654103006
learnable_seasonal_cdf,2,43,36,0.0882637923924464,0.00012674646654825991,0.00020470126471920048,2.8428467227910126,696.3806944380507,431.18342484851036
learnable_seasonal_cdf,2,44,12,0.0981893737986143,0.00106469496269645,0.0035965369334985497,1.9648392909989743,92.22300963079562,27.301088690086125
learnable_seasonal_cdf,2,44,24,0.1480923185087979,0.0012324870307127964,0.0039175204875573745,2.0797501744651186,120.15730374310722,37.80256388681592
