encoding,depth,tau,n_seeds,mean_fidelity,sd_fidelity_across_seeds,mean_median_fidelity,sd_median_fidelity_across_seeds,mean_geometric_fidelity,mean_fidelity_over_haar,sd_fidelity_over_haar_across_seeds
learnable_seasonal_cdf,1,12,5,0.46996981378397507,0.06477997877251326,0.456180098078616,0.06022278205222291,0.4522609889159187,7699.985429036649,1061.3551722088573
learnable_seasonal_cdf,2,12,5,0.10461565571668505,0.0372501856545452,0.09505321819381846,0.03301772393107111,0.08726062043911537,1714.022903262169,610.3070417640683
learnable_seasonal_cdf,3,12,5,0.05568872224266834,0.008908320447942894,0.046452866683025076,0.008656368801388875,0.0402501530406292,912.404025223879,145.95392221909643
learnable_seasonal_cdf,4,12,5,0.0290800388415093,0.006084492502001914,0.019919378893817043,0.004780836457031979,0.0158247370373321,476.4473563792891,99.68832515279941
learnable_seasonal_cdf,5,12,5,0.0181857616747326,0.007686578707043493,0.01078558261780886,0.005871220312871057,0.01017187747623074,297.95551927881974,125.93690553620009
learnable_seasonal_cdf,6,12,5,0.014907016924732822,0.008765047204546617,0.008922583640879559,0.0073045517607001065,0.007254811733419681,244.23656529482338,143.60653339929192
learnable_seasonal_cdf_rz,1,12,5,0.49983299145730753,0.0633500766390837,0.501628422174835,0.07404125453516675,0.48259866047431627,8189.263732036527,1037.9276556547472
learnable_seasonal_cdf_rz,2,12,5,0.105998340618885,0.021232379558968808,0.09503892363223314,0.020357379345407788,0.08782598180575261,1736.676812699813,347.8713066941451
learnable_seasonal_cdf_rz,3,12,5,0.06410696762392913,0.00683624092733308,0.05358387095614042,0.005976480162059781,0.046901204470657945,1050.3285575504565,112.00497135342519
learnable_seasonal_cdf_rz,4,12,5,0.02498778522927548,0.005271965990939135,0.01638541036677238,0.004440448457429505,0.01237090824944366,409.3998731964499,86.37589079554675
learnable_seasonal_cdf_rz,5,12,5,0.01614487144174904,0.007656667786910753,0.009561951764918478,0.006110864903232759,0.008389945006048439,264.51757370161704,125.44684502074603
learnable_seasonal_cdf_rz,6,12,5,0.01204690065218026,0.004911997876858312,0.006251421511091019,0.004128843501634417,0.00495727736380496,197.3764202853225,80.47817321444677
ry,1,12,5,0.0055234276221065,0.0,0.0011050554671106,0.0,0.0008110012090788001,90.49583816059373,3.685244814701588e-13
ry,2,12,5,0.0019018576293303598,0.0003582941935895708,0.000226767840779,4.922545266999827e-05,0.00019870082340368002,31.160035398949493,5.870292067771103
ry,3,12,5,0.00048799063382492,0.00013988628048647547,9.203275476999066e-05,1.1756258628146772e-05,8.922318813872179e-05,7.995238544588494,2.2918968194904314
ry,4,12,5,0.00018400043033892,2.873078034607589e-05,6.555517858630634e-05,1.3264557023174167e-05,5.89690339618829e-05,3.014663050673541,0.4707251051898575
ry,5,12,5,9.900180128933118e-05,1.0422767843839825e-05,5.480000470075963e-05,1.0849563048037187e-05,4.41430153387169e-05,1.6220455123248971,0.170766628354101
ry,6,12,5,7.432521251080805e-05,9.265539135950002e-06,4.8583518173737614e-05,7.4128042960729066e-06,4.080129237231035e-05,1.2177442817770792,0.15180659320340478
same_scalar_rxryrz,1,12,5,0.0087223762098494,0.0,0.0035752304401576404,5.488762120765869e-17,0.0036901139644221004,142.90741182217357,2.799213746640164e-13
same_scalar_rxryrz,2,12,5,0.0009040063552215999,0.00015413691068104712,0.00015209595724856,2.24995203934355e-05,0.00015669139629134,14.811240123951507,2.5253791445979314
same_scalar_rxryrz,3,12,5,0.00016750679429918,2.2092330928249154e-05,8.146720829979252e-05,1.6268260084185892e-05,6.952065097258099e-05,2.7444313177985697,0.3619607499287918
same_scalar_rxryrz,4,12,5,9.777205517371226e-05,1.5518249727787433e-05,5.5934464461511965e-05,1.0502986911727787e-05,4.864247555361963e-05,1.6018973519664486,0.25425100354054686
same_scalar_rxryrz,5,12,5,6.772133286219715e-05,8.363721080384731e-06,4.731348740964816e-05,1.3908507111470644e-05,3.8691634919365875e-05,1.1095463176142382,0.13703120618102343
same_scalar_rxryrz,6,12,5,6.242978969054e-05,6.612239457820276e-06,4.20821033110868e-05,4.956672388326365e-06,3.677950016722247e-05,1.0228496742898074,0.10833493127692742
seasonal_meridian,1,12,5,0.15398935653737206,1.5639472591400866e-16,0.1495065649115165,7.292113943468765e-16,0.13811668427741358,2522.961617508304,2.1690066237555257e-12
seasonal_meridian,2,12,5,0.02956629629047896,0.001360973452201304,0.02159619014550884,0.0020391159284778525,0.0180852580521283,484.41419842320795,22.298189040866152
seasonal_meridian,3,12,5,0.00807868465720318,0.0010779156234832997,0.0036494697542233797,0.0007067383485295435,0.00271431712565612,132.36116942361753,17.660569575150724
seasonal_meridian,4,12,5,0.0024843116046603803,0.00018310959422157235,0.00070472261055946,8.364814016889495e-05,0.00062139880748822,40.70296133075635,3.000067591726526
seasonal_meridian,5,12,5,0.00099846115811766,0.00014688870597198873,0.00018683444877084002,4.182823625907641e-05,0.00017702974655399998,16.358787614600466,2.406624558645007
seasonal_meridian,6,12,5,0.00048131908153648,7.800041243103541e-05,8.462984275133812e-05,6.2694774068968294e-06,8.210380755437688e-05,7.885931831894394,1.2779587572700604
