encoding_order,encoding,encoding_label,depth,n_seeds,variational_parameter_count,encoding_parameter_count,total_parameter_count,train_rmse_original_mean,train_rmse_original_std,val_rmse_original_mean,val_rmse_original_std,test_rmse_original_mean,test_rmse_original_std,test_mae_original_mean,test_mae_original_std,test_pearson_corr_mean,test_pearson_corr_std,test_spearman_corr_mean,test_spearman_corr_std,test_kge_mean,test_kge_std,test_nse_mean,test_nse_std,test_bias_mean,test_bias_std,test_pred_std_over_true_std_mean,test_pred_std_over_true_std_std,test_fft_spectral_cosine_similarity_mean,test_fft_spectral_cosine_similarity_std,test_abs_12_step_band_error_mean,test_abs_12_step_band_error_std,test_signed_12_step_band_error_mean,test_signed_12_step_band_error_std,test_12_step_power_ratio_mean,test_12_step_power_ratio_std,test_abs_short_period_2_to_6_error_mean,test_abs_short_period_2_to_6_error_std,test_signed_short_period_2_to_6_error_mean,test_signed_short_period_2_to_6_error_std,test_short_period_2_to_6_power_ratio_mean,test_short_period_2_to_6_power_ratio_std,elapsed_time_min_mean,elapsed_time_min_std,max_rss_gb_python_mean,max_rss_gb_python_std,mean_fidelity,sd_fidelity_across_seeds,mean_median_fidelity,mean_geometric_fidelity,mean_fidelity_over_haar,sd_fidelity_over_haar_across_seeds
1,ry,Standard Ry,1,5,42,0,57,56.11879093558319,0.4930960261519265,62.20657710650919,1.2131926970851743,62.74589847105425,1.1475723777845317,51.12349172401922,1.2064950554360734,0.3904716556431002,0.0365634199383446,0.4051959361393324,0.0426631297361505,0.1633032909157822,0.0372359289766339,0.1512540004512038,0.0309536548306411,-0.2177305326124931,1.5841718345820692,0.4272444392791764,0.0177145175578262,0.9365947952728324,0.0069639912660493,0.0157145575384893,0.0064788564876903,-0.0015660365789743,0.0186438767821461,0.9961277697499528,0.0460994236170748,0.0575843319580624,0.0273941542086318,0.0575843319580625,0.0273941542086318,1.178566079000548,0.0849478762406108,33.52223126729329,2.0202836826957657,0.8297622680664063,0.0194517618062785,0.0055234276221065,0.0,0.0011050554671106,0.0008110012090788001,90.49583816059373,3.685244814701588e-13
1,ry,Standard Ry,2,5,84,0,99,50.62861187428268,5.244932391124446,60.55759119802004,2.599618269240789,64.27470538961481,1.7241783871371206,54.29125029204231,1.0525759972142832,0.363466376538283,0.0445259904282979,0.3987684014099107,0.0499659138019952,0.184240490640125,0.0679367824797786,0.1091163601612452,0.0479926988141722,-2.009237940655548,3.728525811102021,0.4944525503993895,0.0772858614824792,0.8859715039666731,0.0719748603709999,0.1040219291323234,0.0905383836751606,-0.1040219291323235,0.0905383836751605,0.742792176081721,0.2238679943778324,0.0741872247002528,0.0530449220531278,0.0662072235193883,0.0649168590109445,1.2053052263240636,0.2013038717382001,61.13733047644297,4.557079204201187,1.3256538391113282,0.0421810135398276,0.0019018576293303598,0.0003582941935895708,0.000226767840779,0.00019870082340368002,31.160035398949493,5.870292067771103
1,ry,Standard Ry,3,5,126,0,141,46.41122865297913,11.400585782472122,60.83837076826738,3.903267862919919,68.3823086032311,4.559739907150584,57.514277279101,2.965641113111323,0.2809024312544728,0.0838888453057703,0.2979141613103876,0.1361283662175076,0.1073072377691247,0.1806670196252454,-0.0113940931127148,0.1357967651140683,-0.9025441690551204,2.2294687202120644,0.500707777325293,0.2508604179594988,0.6098995047265907,0.1537369628536029,0.2279904818113022,0.0730586129722133,-0.2279904818113022,0.0730586129722133,0.4362637167960088,0.1806469752850566,0.2343679845723484,0.0447584942320551,0.2343679845723486,0.0447584942320551,1.7267631771576994,0.1387938097954732,88.96568186203639,4.962967912875848,1.815621948242188,0.0151424302488982,0.00048799063382492,0.00013988628048647547,9.203275476999066e-05,8.922318813872179e-05,7.995238544588494,2.2918968194904314
1,ry,Standard Ry,4,5,168,0,183,48.00901781378491,4.541712235957385,58.36454503202312,1.7135422586545697,66.83365427518179,2.918206313284548,56.699840046218334,2.15741402256963,0.3080763400032795,0.042656189643697,0.3281691893012647,0.0519986464789598,0.1535030154798617,0.0325584982508854,0.0358532099945899,0.0843288735131367,1.4028200437904086,1.7458394132688375,0.5213265136725032,0.0966337300072582,0.8876647202280958,0.0492388406939876,0.111867785432558,0.0614962125852063,-0.1118677854325581,0.0614962125852062,0.7233922702869361,0.1520574281807062,0.0773541147308664,0.1006982452273892,0.0745145948109445,0.1033401150295539,1.2310659613694095,0.320452430666939,119.95684391578038,4.074282412659581,2.3250946044921874,0.0083858385091633,0.00018400043033892,2.873078034607589e-05,6.555517858630634e-05,5.89690339618829e-05,3.014663050673541,0.4707251051898575
1,ry,Standard Ry,5,5,210,0,225,47.955660382164936,5.6927654010308135,62.58167299608205,1.2009339569864093,66.93123386718187,1.7654363470720678,56.50739924611814,1.0064214357551962,0.2774062843092959,0.0553174255350346,0.2794795770267468,0.0459282965052205,0.1021932956046984,0.086087362642424,0.0339709749026807,0.051570048869005,2.936174846890767,1.4791520462358978,0.4717279901027386,0.0930741839257403,0.5857636162995162,0.0695274092870133,0.2911902529572068,0.0185979030556546,-0.2911902529572069,0.0185979030556546,0.2799940172801191,0.0459857475658142,0.2777033137629547,0.022407325525993,0.2777033137629548,0.022407325525993,1.8611438246817535,0.0694839746162107,147.451692896684,7.349614330833644,2.807926940917969,0.0078403766245292,9.900180128933118e-05,1.0422767843839825e-05,5.480000470075963e-05,4.41430153387169e-05,1.6220455123248971,0.170766628354101
1,ry,Standard Ry,6,5,252,0,267,54.874490939944586,10.40740540354868,66.80780149534397,3.176710212450633,67.6898751853823,0.9745770913224652,58.624756210334205,1.8616692936997112,0.0953092724878,0.163251702364241,0.0894111548828529,0.1390331325142673,-0.218341258873399,0.2402360144570964,0.012333559752165,0.0282184687845447,2.370022657065746,3.0900657128968883,0.1877426887284977,0.1910356234548855,0.3792922883139953,0.1981145670613172,0.334155333772378,0.0601207915280872,-0.334155333772378,0.0601207915280872,0.1737572359290871,0.1486565197374207,0.3399583137140293,0.0787041770809229,0.3399583137140293,0.0787041770809229,2.0541934071191905,0.2440576424944959,178.21587488969166,12.462732339151646,3.10714111328125,0.468915426812146,7.432521251080805e-05,9.265539135950002e-06,4.8583518173737614e-05,4.080129237231035e-05,1.2177442817770792,0.15180659320340478
2,same_scalar_rxryrz,Same-scalar RxRyRz,1,5,42,0,57,57.438860631728176,2.0548658430541926,60.66701789866319,1.902989320999577,63.91352708249385,0.7872974800716791,53.677303807946046,1.096395568043579,0.3536506046165075,0.0322849805422832,0.3705100559817541,0.0328019807207861,0.1198736167261948,0.0380140623977952,0.1195004446715427,0.021749161829685,-3.648825336958905,1.5118384936193727,0.4045840871067128,0.0278629550190133,0.7986637138731363,0.0484151485019481,0.1492051456550432,0.0481220229903159,-0.1492051456550433,0.0481220229903159,0.6310707641027735,0.1189879953114467,0.1085995197841764,0.0654621634438986,-0.1085995197841765,0.0654621634438986,0.6632384231994607,0.2029948329969873,43.22758062839508,0.6819232734173309,0.846942138671875,0.0226235918144326,0.0087223762098494,0.0,0.0035752304401576404,0.0036901139644221004,142.90741182217357,2.799213746640164e-13
2,same_scalar_rxryrz,Same-scalar RxRyRz,2,5,84,0,99,54.28772488716093,3.984087867359346,64.81697666349906,1.640121091005206,67.59449655198692,2.858742727680788,57.47476478611432,1.9157001929484745,0.2450734182911396,0.0734901072838626,0.2744557329462989,0.0909242971953814,0.030065677833215,0.0646599766296421,0.0138691838651648,0.0836520278577633,-1.236386316719717,2.159611961395396,0.4022995478419741,0.1221143016270183,0.5511581020189907,0.1324677702304642,0.2488341113573684,0.0383386392488513,-0.2488341113573685,0.0383386392488513,0.3847251167832877,0.0947972995255748,0.1852463059080806,0.1300718636099763,0.1852463059080807,0.1300718636099763,1.5744393547785278,0.403346220809557,78.42720515330633,4.01624781870852,1.5353103637695311,0.0189954286928602,0.0009040063552215999,0.00015413691068104712,0.00015209595724856,0.00015669139629134,14.811240123951507,2.5253791445979314
2,same_scalar_rxryrz,Same-scalar RxRyRz,3,5,126,0,141,48.3795439622506,8.830741346138094,59.86481491728222,4.867503393716298,69.7525250195159,4.201584821873319,57.927078739706495,3.152288829352186,0.2160137804947809,0.0510000663842228,0.2335081899232842,0.0693989824559288,0.053713543877346,0.1024933390382314,-0.0516458358313837,0.1313672324790865,-2.284378937788264,2.9151243815011907,0.4874184209484606,0.1687869327619476,0.6743604066939417,0.0967250603357764,0.2315922936883102,0.028398311584204,-0.2315922936883103,0.0283983115842041,0.4273577658799303,0.0702185393642799,0.1426839954727582,0.0304619382976222,0.1426839954727584,0.0304619382976222,1.442455799022864,0.0944609183714152,112.10933662494024,3.635042554789715,2.2627662658691405,0.0076019138372789,0.00016750679429918,2.2092330928249154e-05,8.146720829979252e-05,6.952065097258099e-05,2.7444313177985697,0.3619607499287918
2,same_scalar_rxryrz,Same-scalar RxRyRz,4,5,168,0,183,52.53813725025683,7.140714545733264,64.06988446307143,3.0737998129158117,66.09274545683427,3.9711278415163416,55.54820499072012,2.5236919767881485,0.2767404759603346,0.1215860297730933,0.3029027576197387,0.0999680666417441,0.0300991977256091,0.143701526712659,0.0558284438089408,0.1132965486640263,0.3985809892142216,2.803361441495565,0.3644483825165007,0.1479200646496564,0.7259900197382952,0.1672520647616908,0.1937985125491401,0.1108582938589201,-0.1937985125491402,0.11085829385892,0.5208078324719853,0.2741116297744733,0.1360435949153709,0.0754451518196837,0.136043594915371,0.0754451518196837,1.4218642552781302,0.2339515712338786,158.1530589675903,5.873266129930896,2.9888687133789062,0.0084209163488184,9.777205517371226e-05,1.5518249727787433e-05,5.5934464461511965e-05,4.864247555361963e-05,1.6018973519664486,0.25425100354054686
